410.349,461.301,"디지털미디어시티",6,1,2359,6398
681.472,841.584,"숭실대입구",7,1,2436,5374
413.264,376.065,"응암",6,1,2444,2310
1223.802,682.171,"암사",8,1,2468,7824
1193.903,512.938,"사가정",7,1,2469,794
894.623,314.807,"한성대입구",4,1,2496,9666
1109.194,603.815,"어린이대공원",7,1,2504,2308
1198.538,424.053,"상봉",7,1,2504,5998
444.704,768.553,"남구로",7,1,2510,5192
1020.581,847.87,"종합운동장",2,1,2535,4730
832.588,447.234,"을지로4가",25,2,2546,8790
632.998,398.965,"서대문",5,1,2554,442
625.961,465.772,"충정로",25,2,2622,4148
700.66,587.402,"숙대입구",4,1,2632,8546
1087.322,741.416,"잠실나루",2,1,2668,740
835.123,571.489,"약수",36,2,2671,5056
1264.418,716.373,"강동",5,1,2684,9278
985.804,752.112,"강남구청",7,1,2709,7420
945.523,384.014,"동묘앞",16,2,2715,8710
1012.017,299.428,"미아",4,1,2719,6188
1136.735,558.785,"장한평",5,1,2772,6710
463.701,672.417,"문래",2,1,2858,4920
1027,379.38,"제기동",1,1,2926,1224
386.734,645.691,"목동",5,1,2928,338
556.317,313.009,"홍제",3,1,2932,7714
816.251,905.413,"서초",2,1,2933,9622
993.316,384.015,"신설동",12,2,2964,3194
1183.635,212.371,"하계",7,1,3071,9794
953.958,835.849,"논현",7,1,3181,8088
786.319,905.413,"방배",2,1,3193,9382
1063.813,159.064,"상계",4,1,3221,9988
944.71,459.676,"신당",26,2,3348,7040
554.611,687.232,"여의도",5,1,3356,3884
633.37,898.432,"봉천",2,1,3463,1546
719.128,313.009,"경복궁",3,1,3483,7552
1093.556,637.513,"구의",2,1,3495,7528
1137.211,608.45,"군자",57,2,3564,9828
576.938,482.338,"이대",2,1,3581,3084
757.353,846.219,"총신대입구",47,2,3585,5378
1015.947,504.309,"왕십리",25,2,3634,886
461.474,645.638,"영등포구청",25,2,3635,7224
477.653,613.96,"당산",2,1,3656,8766
1070.853,569.441,"성수",2,1,3659,882
984.871,795.131,"학동",7,1,3674,6120
449.667,313.009,"불광",36,2,3693,1878
361.09,768.553,"철산",7,1,3774,7258
526.181,835.956,"신대방",2,1,3878,4112
918.757,301.516,"성신여대입구",4,1,3879,3324
985.804,707.447,"청담",7,1,3880,660
1042.793,825.062,"신천",2,1,3927,3222
839.498,379.38,"종로5가",1,1,3980,2188
774.169,332.313,"안국",3,1,4038,9134
945.448,299.641,"길음",4,1,4069,2406
788.246,456.503,"을지로3가",23,2,4149,1266
412.603,645.691,"오목교",5,1,4153,9756
330.852,768.553,"광명사거리",7,1,4172,6212
311.627,645.691,"화곡",5,1,4196,8754
345.771,650.367,"까치산",25,2,4225,6964
705.295,905.413,"낙성대",2,1,4494,5664
620.999,617.697,"공덕",56,2,4568,3386
1060.18,379.38,"청량리",1,1,4671,5740
713.003,516.746,"회현",4,1,4706,5508
1063.814,240.276,"창동",14,2,4784,6676
1060.18,262.92,"쌍문",4,1,4816,7506
888.606,742.598,"신사",3,1,4828,2434
788.246,499.675,"충무로",34,2,5057,3692
683.564,369.616,"광화문",5,1,5118,4840
979.998,299.641,"미아사거리",4,1,5317,9114
861.91,944.582,"남부터미널",3,1,5556,4538
871.891,447.234,"동대문역사문화공원",245,3,5809,4260
390.518,763.918,"가산디지털단지",17,2,5843,7730
