"가락시장",38,0,0,0,0,180,550,1656,1564,1026,813,896,812,882,790,952,1015,1260,1933,1234,846,849,709,327,18332,1157.223,868.944,38
"가산디지털단지",0,0,0,0,0,259,391,941,862,743,758,808,986,1332,1252,1537,1675,4070,12607,7951,5019,4878,3011,1078,50158,390.518,763.918,17
"강남",875,0,0,0,12,345,1030,2477,4137,3075,2753,3503,4054,5189,4690,5859,6346,8321,14504,11695,8859,11079,11135,4272,114210,889.279,908.681,2
"강남구청",0,0,0,0,0,84,221,514,599,480,483,530,584,721,782,1067,1031,1511,3680,2691,1781,1854,1505,642,20760,985.804,752.112,7
"강동",0,0,0,0,0,439,1076,3533,3771,1676,1044,922,880,871,784,724,856,1269,1839,1226,799,635,497,237,23078,1264.418,716.373,5
"강동구청",0,0,0,0,0,171,558,1821,1953,874,611,530,500,556,463,514,576,702,1142,625,484,407,287,109,12883,1194.134,748.703,8
"강변",157,0,0,0,10,564,1791,5724,8079,4602,3293,3184,2735,2698,2325,2580,2691,3142,3570,2948,2082,1780,1543,689,56187,1096.235,670.037,2
"개화산",1,0,0,0,0,174,479,1402,985,471,323,333,356,261,324,259,273,406,732,468,272,190,162,52,7923,201.505,530.358,5
"거여",0,0,0,0,0,189,561,1818,1432,600,416,340,396,341,314,255,471,458,601,335,241,160,110,68,9106,1314.81,896.19,5
"건대입구",482,0,0,0,7,970,1613,4508,6461,3617,2128,2191,2387,2585,2655,2877,3559,4380,5202,4471,4331,4845,4791,2688,66748,1077.788,603.785,27
"경복궁",103,0,0,0,2,138,349,855,1117,906,762,795,847,1133,1109,1490,2122,2714,4260,2178,1593,1789,1688,575,26525,719.128,313.009,3
"경찰병원",7,0,0,0,0,82,410,1220,1109,581,465,408,334,318,381,424,426,576,887,465,317,330,235,91,9066,1241.478,840.421,3
"고덕",1,0,0,0,0,152,551,1430,1111,547,458,503,492,408,445,522,815,740,688,391,290,297,306,127,10274,1355.677,671.859,5
"고려대",1,0,0,0,0,160,401,1410,1533,626,450,392,375,413,370,531,773,942,1262,718,551,876,920,564,13268,1025.302,331.115,6
"고속터미널",198,0,0,0,0,798,784,3025,4144,3880,3371,3577,4044,4252,4277,4768,4834,6044,7198,6304,6036,4667,3402,1471,77074,850.837,837.545,37
"공덕",0,0,0,0,0,300,675,2027,2554,1465,1163,1252,1197,1459,1511,1758,1852,2499,6345,3782,2410,2346,2032,835,37462,620.999,617.697,56
"공릉",2,0,0,0,0,275,694,2331,2200,972,648,574,611,610,581,773,1280,989,1403,834,765,728,631,370,17271,1193.903,282.891,7
"광나루",1,0,0,0,0,155,797,2333,2720,1258,793,709,601,700,665,798,857,1092,1498,992,621,1282,632,212,18716,1137.21,656.679,5
"광명사거리",8,0,0,0,0,977,2100,6196,6482,2576,1437,1207,1247,1289,1078,1046,1047,1365,1650,1225,939,816,580,223,33488,330.852,768.553,7
"광화문",0,0,0,0,0,37,211,536,766,671,699,910,957,1357,1467,1649,1986,3006,7700,4518,3183,3195,3138,961,36947,683.564,369.616,5
