"가락시장",53,0,0,0,3,154,254,418,585,770,778,853,839,791,784,729,707,872,631,511,398,436,366,144,11076,1157.223,868.944,38
"가산디지털단지",212,0,0,0,0,256,297,330,395,427,434,448,689,866,990,1459,1908,2521,2838,2112,1814,1769,879,299,20943,390.518,763.918,17
"강남",0,0,0,0,17,929,1126,886,1131,1304,1533,2028,2795,3377,3631,4474,5022,5431,5042,4482,4905,5800,6047,2627,62587,889.279,908.681,2
"강남구청",159,0,0,0,0,86,163,164,239,312,324,348,503,501,720,658,803,823,924,957,857,1004,873,461,10879,985.804,752.112,7
"강동",50,0,0,0,0,321,456,658,1071,1132,1103,1059,1149,1127,1068,948,789,895,902,614,473,391,336,130,14672,1264.418,716.373,5
"강동구청",26,0,0,0,0,115,179,304,443,566,524,511,488,501,553,390,395,400,347,255,185,205,192,55,6634,1194.134,748.703,8
"강변",0,0,0,0,1,316,612,1086,1901,2669,3317,3714,3663,3416,3031,2967,3003,3265,2842,2978,2803,2508,2034,635,46761,1096.235,670.037,2
"개화산",9,0,0,0,0,127,170,254,350,317,326,346,300,292,264,258,240,284,256,202,152,120,79,29,4375,201.505,530.358,5
"거여",4,0,0,0,0,142,196,341,493,440,536,465,393,415,342,304,248,197,221,186,137,111,83,35,5289,1314.81,896.19,5
"건대입구",264,0,0,0,17,1179,1154,1311,2151,2371,2191,2273,2566,3308,3175,3523,3998,4058,4201,3920,4389,4418,4111,2158,56736,1077.788,603.785,27
"경복궁",1,0,0,0,0,104,167,225,430,595,619,907,1111,1480,1579,2224,2352,2509,2019,1198,935,871,539,212,20077,719.128,313.009,3
"경찰병원",0,0,0,0,0,45,103,182,302,292,305,385,278,334,260,236,201,235,219,142,153,154,97,48,3971,1241.478,840.421,3
"고덕",31,0,0,0,0,77,147,240,304,366,481,432,472,477,422,412,363,390,331,256,211,164,158,59,5793,1355.677,671.859,5
"고려대",40,0,0,0,0,117,172,254,441,440,433,439,519,558,463,469,596,516,541,343,784,485,356,153,8119,1025.302,331.115,6
"고속터미널",133,0,0,0,0,369,422,777,1297,2312,3102,3800,4531,5226,5181,5727,6584,7026,6234,6000,6462,5655,3892,1326,76056,850.837,837.545,37
"공덕",245,0,0,0,0,265,338,451,731,927,1043,1047,1055,1206,1252,1159,1174,1215,1096,997,960,981,861,388,17391,620.999,617.697,56
"공릉",111,0,0,0,0,207,291,444,705,759,744,776,721,621,660,581,501,547,503,442,348,302,292,140,9695,1193.903,282.891,7
"광나루",35,0,0,0,0,152,255,374,707,777,821,813,838,922,1039,897,867,946,860,609,432,390,387,151,12272,1137.21,656.679,5
"광명사거리",79,0,0,0,0,708,828,1306,1774,1853,1504,1573,1544,1556,1373,1198,1140,1202,1172,867,722,629,431,192,21651,330.852,768.553,7
