"가락시장",50,0,0,0,0,110,189,255,443,542,578,713,734,805,774,730,762,661,635,460,352,422,358,182,9755,1157.223,868.944,38
"가산디지털단지",94,0,0,0,0,162,194,209,307,352,276,337,545,681,874,1244,1692,2160,1986,1609,1471,1791,651,249,16884,390.518,763.918,17
"강남",0,0,0,0,22,1547,1509,916,902,1432,1457,2066,2719,3484,3884,4506,5296,5816,4807,4488,4901,5960,5972,2871,64555,889.279,908.681,2
"강남구청",96,0,0,0,0,101,131,137,162,227,225,321,625,600,482,503,699,582,562,538,463,617,486,231,7788,985.804,752.112,7
"강동",63,0,0,0,0,205,302,380,731,844,883,870,944,1075,1005,856,846,982,679,529,475,379,400,148,12596,1264.418,716.373,5
"강동구청",31,0,0,0,0,84,153,172,298,449,479,522,475,588,505,463,528,457,328,386,223,252,249,73,6715,1194.134,748.703,8
"강변",0,0,0,0,3,511,491,596,1183,2168,3121,3476,3752,3763,3587,3486,3420,3356,3052,2704,2698,2561,1853,720,46501,1096.235,670.037,2
"개화산",10,0,0,0,0,97,97,189,237,248,282,304,335,348,335,292,230,342,260,175,174,94,119,28,4196,201.505,530.358,5
"거여",15,0,0,0,0,97,127,181,318,376,431,373,403,474,410,316,283,279,208,193,140,158,84,39,4905,1314.81,896.19,5
"건대입구",258,0,0,0,56,1770,1449,1184,1574,1942,1853,2101,2492,3323,3716,4335,4824,5119,4686,4377,4670,4860,4695,2741,62025,1077.788,603.785,27
"경복궁",1,0,0,0,0,68,91,125,311,466,433,537,835,1121,1296,1452,1859,1861,1185,883,647,704,565,181,14621,719.128,313.009,3
"경찰병원",0,0,0,0,1,36,67,106,165,231,273,262,259,357,338,290,234,264,230,179,135,138,109,28,3702,1241.478,840.421,3
"고덕",40,0,0,0,0,56,80,127,235,239,339,374,460,517,512,473,411,385,364,244,218,172,131,52,5429,1355.677,671.859,5
"고려대",43,0,0,0,0,100,91,129,281,354,368,396,434,509,438,415,438,441,356,268,209,201,196,118,5785,1025.302,331.115,6
"고속터미널",140,0,0,0,0,382,376,512,964,1742,2629,3566,4321,4563,5245,6024,6799,6827,6443,5931,6568,5558,3935,1400,73925,850.837,837.545,37
"공덕",163,0,0,0,0,218,263,263,454,661,772,763,1132,1117,1183,1127,1039,1096,1012,874,845,934,693,333,14942,620.999,617.697,56
"공릉",57,0,0,0,0,160,193,280,461,546,589,521,672,791,696,626,566,570,473,369,326,332,259,145,8632,1193.903,282.891,7
"광나루",58,0,0,0,0,225,204,245,476,602,641,634,747,886,859,735,849,751,554,416,947,1004,416,188,11437,1137.21,656.679,5
"광명사거리",79,0,0,0,0,487,531,742,1261,1387,1403,1273,1666,1797,1660,1565,1490,1409,1076,868,732,614,548,250,20838,330.852,768.553,7
"광화문",202,0,0,0,0,53,72,112,188,298,343,494,917,1365,1931,2320,3285,4045,3289,2622,2326,3483,1809,465,29619,683.564,369.616,5
"광흥창",46,0,0,0,0,50,79,117,223,310,343,315,458,417,368,349,333,439,302,195,195,197,171,97,5004,539.321,601.189,6
"교대",0,0,0,0,1,155,380,336,515,770,805,1006,1310,1454,1644,1546,1545,1646,1461,1254,1259,1558,1539,625,20809,846.203,910.047,23
"구로디지털단지",4,0,0,0,2,1094,1007,1180,1976,2615,2268,2083,2411,2658,2643,2472,2463,2627,2270,1851,1530,1501,1167,567,36389,500.574,802.592,2
"구산",12,0,0,0,0,91,129,195,290,393,344,362,466,488,481,382,405,329,265,173,151,135,118,52,5261,385.971,343.656,6
"구의",0,0,0,0,1,305,422,468,959,1092,1049,960,1167,1288,1098,1015,1012,1012,741,650,502,531,403,225,14900,1093.556,637.513,2
"구파발",0,0,0,0,1,158,226,367,618,817,957,792,930,928,792,817,827,751,485,304,258,179,141,64,10412,331.775,313.009,3
"군자",175,0,0,0,0,295,362,476,877,1037,1097,1007,1197,1394,1355,1118,1378,1227,1232,1057,869,885,803,475,18316,1137.211,608.45,57
"굽은다리",39,0,0,0,0,119,154,213,394,437,563,524,590,776,627,670,486,461,381,271,236,240,172,60,7413,1327.622,709.451,5
"금호",0,0,0,0,0,104,106,175,342,454,450,447,496,600,480,352,392,348,286,167,139,115,102,53,5608,892.776,572.028,3
"길동",17,0,0,0,0,105,128,172,264,340,352,354,462,497,454,440,375,332,302,223,235,203,150,55,5460,1300.476,716.373,5
"길음",0,0,0,0,5,258,395,540,1011,1353,1369,1273,1594,1746,1504,1405,1369,1187,1129,714,625,529,428,199,18633,945.448,299.641,4
"김포공항",88,0,0,0,0,18,38,41,113,158,224,318,451,638,845,1009,1139,1122,1089,928,811,829,787,237,10883,196.871,562.553,5
"까치산",87,0,0,0,0,492,532,795,1346,1638,1650,1539,1980,1926,1742,1461,1440,1303,1014,853,673,645,495,232,21843,345.771,650.367,25
"낙성대",0,0,0,0,1,236,343,538,880,1303,1493,1578,1745,1956,1791,1793,1588,1454,1242,829,692,696,566,332,21056,705.295,905.413,2
"남구로",49,0,0,0,0,464,347,438,647,744,528,451,673,701,587,561,501,840,675,517,453,323,263,85,9847,444.704,768.553,7
"남부터미널",0,0,0,0,1,97,212,215,471,880,1274,1555,1709,1587,1656,1872,2226,2259,1804,1606,1302,1498,1358,412,23994,861.91,944.582,3
"남성",37,0,0,0,0,105,188,268,428,581,582,508,611,642,546,523,453,414,349,254,247,218,201,105,7260,724.94,841.584,7
"남태령",1,0,0,0,0,6,14,18,50,63,42,58,44,69,39,61,105,30,33,28,14,11,11,3,700,757.353,946.698,4
"내방",57,0,0,0,0,57,148,166,227,359,361,341,488,588,505,524,521,574,420,289,305,348,271,124,6673,803.566,841.584,7
"노원",205,0,0,0,6,526,676,771,1288,1661,1850,1870,2645,3145,3415,3354,3519,3176,2880,2327,2744,2357,1963,882,41260,1063.814,192.852,47
"녹번",1,0,0,0,2,194,285,403,836,912,766,716,830,915,807,663,633,634,510,331,289,188,162,57,10134,504.454,313.009,3
"녹사평",73,0,0,0,0,55,67,62,97,145,159,139,218,265,325,351,403,434,422,409,568,469,361,165,5187,738.161,622.157,6
"논현",212,0,0,0,0,227,235,173,264,385,328,339,369,467,478,469,602,617,621,558,604,791,859,431,9029,953.958,835.849,7
"답십리",44,0,0,0,0,208,240,309,580,735,719,628,833,842,844,703,847,961,669,531,384,397,273,134,10881,1110.581,518.04,5
"당고개",0,0,0,0,0,192,218,404,666,753,824,713,758,761,849,734,657,627,489,369,224,258,187,61,9744,1063.813,127.57,4
"당산",1,0,0,0,4,159,261,319,508,694,849,853,983,1089,1046,1012,1002,988,838,586,540,557,523,258,13070,477.653,613.96,2
"대림",52,0,0,0,13,1252,925,1088,1934,2472,1874,1615,1942,2209,2102,1794,1877,1889,1695,1519,1356,1150,879,464,30101,486.922,768.553,27
"대청",0,0,0,0,1,69,125,221,315,446,482,453,593,547,543,458,517,422,353,256,172,219,171,50,6413,1082.793,962.105,3
"대치",1,0,0,0,0,43,188,108,223,291,406,473,647,653,514,564,537,567,376,354,257,298,335,75,6910,1005.979,962.105,3
"대흥",51,0,0,0,0,65,77,105,178,256,318,271,316,396,321,276,350,337,252,238,410,223,198,87,4725,574.278,621.428,6
"도곡",0,0,0,0,0,25,55,84,126,198,246,290,299,345,348,369,312,370,286,201,165,197,184,42,4142,967.904,966.74,3
"도림천",0,0,0,0,0,8,8,12,22,24,32,32,29,45,18,17,31,46,26,12,9,16,15,5,407,431.228,702.422,2
"도봉산",29,0,0,0,0,149,165,314,493,512,545,420,603,609,750,885,844,669,424,332,203,167,137,39,8289,956.056,192.853,17
"독립문",2,0,0,0,5,140,88,110,243,311,372,280,477,498,446,325,429,349,276,199,147,142,111,43,4993,661.654,313.009,3
"독바위",10,0,0,0,0,50,46,77,115,161,159,145,171,163,167,147,203,118,104,53,42,37,37,17,2022,412.847,271.974,6
"돌곶이",28,0,0,0,0,146,189,234,446,464,479,409,557,501,473,415,385,319,321,266,207,163,126,81,6209,1121.619,331.115,6
"동대문",27,0,0,0,46,848,540,530,768,1041,1279,1679,2608,3425,3918,4088,4313,4235,2828,2184,1874,1577,1316,644,39768,876.366,384.015,14
"동대문역사문화공원",10,0,0,0,12,709,452,461,514,721,914,1057,1328,1848,2220,2991,3547,3697,3345,2851,2624,2468,2183,1385,35337,871.891,447.234,245
"동대입구",0,0,0,0,1,46,84,78,109,149,220,299,429,503,547,620,591,696,1099,818,619,883,574,160,8525,800.298,549.974,3
"동묘앞",41,0,0,0,0,233,270,242,341,432,527,648,911,1327,1662,1958,2174,1812,962,686,555,425,343,192,15741,945.523,384.014,16
"동작",0,0,0,0,0,11,15,32,69,87,118,114,129,109,114,116,127,138,89,87,75,57,37,23,1547,757.353,786.528,4
"둔촌동",39,0,0,0,0,162,192,273,411,549,609,625,791,895,931,785,647,681,494,421,328,337,268,108,9546,1305.66,742.184,5
"디지털미디어시티",68,0,0,0,0,136,217,261,443,609,635,548,715,715,697,590,611,596,523,359,268,279,199,106,8575,410.349,461.301,6
"뚝섬",0,0,0,0,1,78,181,226,445,489,506,526,612,885,689,606,824,688,506,346,401,291,194,97,8591,1053.888,547.665,2
"뚝섬유원지",22,0,0,0,0,105,121,143,307,440,373,320,357,418,459,559,593,596,346,290,251,223,195,81,6199,1002.496,620.333,7
"마곡",1,0,0,0,0,5,14,22,30,30,28,28,36,44,51,55,193,230,37,10,8,16,7,2,847,211.598,622.481,5
"마들",18,0,0,0,0,188,214,380,553,617,701,610,692,682,584,479,519,448,317,244,237,152,115,53,7803,1029.086,188.219,7
"마장",20,0,0,0,0,63,89,129,202,229,276,256,300,365,332,285,264,258,221,187,170,157,120,43,3966,1052.575,509.412,5
"마천",10,0,0,0,0,135,131,187,347,390,380,301,443,429,413,342,294,255,196,131,127,97,49,24,4681,1314.81,928.81,5
"마포",59,0,0,0,0,73,142,129,227,306,394,333,492,522,454,445,531,639,435,483,497,395,315,94,6965,597.567,645.716,5
"마포구청",54,0,0,0,0,174,162,278,415,613,652,501,568,628,574,510,545,559,539,347,285,299,260,99,8062,455.598,506.923,6
"망원",48,0,0,0,0,125,150,192,364,497,568,493,594,558,543,507,488,489,469,318,318,319,248,134,7422,489.129,512.111,6
"매봉",0,0,0,0,0,52,102,106,175,233,324,293,381,438,428,423,426,409,288,239,261,288,236,66,5168,932.587,962.105,3
"먹골",39,0,0,0,0,138,159,251,407,511,613,472,560,625,581,511,485,492,421,333,283,227,170,80,7358,1193.903,362.101,7
"면목",37,0,0,0,0,241,305,454,818,859,858,716,817,824,775,597,697,665,569,501,391,319,252,99,10794,1193.903,468.831,7
"명동",0,0,0,0,0,189,116,150,254,524,884,1148,2015,2533,3716,5053,6385,7599,7460,6935,7272,7282,7217,2993,69725,746.47,495.017,4
"명일",23,0,0,0,0,96,119,185,391,442,684,464,888,876,620,778,535,435,291,213,209,171,118,56,7594,1345.212,694.504,5
"목동",49,0,0,0,0,175,256,376,557,777,765,751,856,1007,1009,843,834,761,681,505,414,465,386,158,11625,386.734,645.691,5
"몽촌토성",23,0,0,0,0,142,106,72,145,185,266,261,520,439,432,475,462,457,449,276,300,279,269,101,5659,1139.439,755.559,8
"무악재",0,2,1,0,0,48,69,120,186,248,264,230,272,248,219,162,184,165,132,84,71,60,47,19,2831,608.485,313.009,3
"문래",0,0,0,0,2,107,148,181,327,417,548,542,654,680,681,700,721,760,631,487,436,488,424,182,9116,463.701,672.417,2
"문정",18,0,0,0,0,38,83,80,172,244,215,233,291,337,268,290,327,278,202,167,139,170,108,66,3726,1206.363,878.029,8
"미아",0,0,0,0,0,240,353,490,886,963,912,877,979,1163,960,879,910,766,874,651,439,336,236,106,13020,1012.017,299.428,4
"미아사거리",0,0,0,0,1,396,597,879,1544,1949,1825,1705,2143,2580,2402,2270,2342,2244,1850,1683,1792,1207,815,429,30653,979.998,299.641,4
"반포",27,0,0,0,0,39,72,61,83,176,172,141,233,265,271,269,336,360,320,316,237,317,356,121,4172,899.452,841.584,7
"발산",73,0,0,0,0,58,108,169,257,279,336,336,487,610,594,541,592,728,563,398,336,365,417,114,7361,240.573,642.882,5
"방배",0,0,0,0,0,100,241,213,293,548,588,683,819,893,885,777,721,736,607,500,426,554,393,269,10246,786.319,905.413,2
"방이",27,0,0,0,0,172,118,109,171,212,282,260,353,401,404,289,315,280,269,204,174,240,225,60,4565,1314.81,804.973,5
"방화",15,0,0,0,0,105,133,194,317,370,423,369,466,470,470,413,332,325,239,188,171,126,117,29,5272,201.505,488.426,5
"버티고개",7,0,0,0,0,25,28,26,72,99,108,112,151,119,98,110,100,102,95,62,59,55,38,19,1485,821.759,597.956,6
"보라매",43,0,0,0,0,130,125,153,315,351,322,296,398,417,407,370,390,406,300,233,183,206,196,79,5320,570.167,768.595,7
"보문",46,0,0,0,0,87,95,148,329,376,372,357,439,489,392,305,373,367,306,226,211,199,183,112,5412,973.489,338.568,6
"복정",14,0,0,0,0,47,77,103,133,208,203,413,257,473,352,265,351,461,246,184,115,120,108,47,4177,1227.969,957.916,8
"봉천",0,0,0,0,1,392,448,482,908,1343,1238,1019,1333,1385,1157,1032,1015,999,760,651,491,503,408,177,15742,633.37,898.432,2
