"가락시장",79,0,0,0,0,94,160,178,264,271,341,378,490,495,502,514,492,476,442,319,351,342,278,105,6571,1157.223,868.944,38
"가산디지털단지",126,0,0,0,0,82,108,194,195,238,226,311,411,488,728,908,1250,1430,1421,1168,1122,1259,547,140,12352,390.518,763.918,17
"강남",0,0,0,0,24,1768,1545,936,727,789,934,1279,1471,1801,2061,2430,2591,3747,3131,2904,3382,4028,4201,1928,41677,889.279,908.681,2
"강남구청",268,0,0,0,0,102,236,186,194,208,209,267,278,272,294,344,355,358,323,298,339,412,360,155,5458,985.804,752.112,7
"강동",142,0,0,0,0,173,261,351,449,526,507,643,708,706,660,707,673,681,676,556,546,521,298,125,9909,1264.418,716.373,5
"강동구청",97,0,0,0,0,66,143,157,206,261,311,364,343,330,320,348,298,321,267,202,198,205,144,57,4638,1194.134,748.703,8
"강변",0,0,0,0,6,879,539,466,692,1112,1554,1790,1996,2273,2748,2965,3234,3551,3309,3239,2930,2283,2108,1041,38715,1096.235,670.037,2
"개화산",33,0,0,0,0,59,107,153,203,194,202,237,227,200,274,275,252,262,241,209,150,116,93,30,3517,201.505,530.358,5
"거여",48,0,0,0,0,78,135,115,198,236,239,266,275,294,303,246,270,235,220,148,136,118,83,30,3673,1314.81,896.19,5
"건대입구",367,0,0,0,8,1777,1600,1088,1124,1323,1145,1384,1623,2012,2194,2579,2801,2950,2713,2757,2935,3215,2959,1565,40119,1077.788,603.785,27
"경복궁",1,0,0,0,0,62,110,152,239,389,349,509,748,670,690,898,1014,957,743,425,440,377,285,88,9146,719.128,313.009,3
"경찰병원",0,0,0,0,0,38,74,107,132,142,200,205,220,234,233,193,214,220,183,133,116,164,124,26,2958,1241.478,840.421,3
"고덕",65,0,0,0,0,64,112,137,187,204,157,248,293,290,329,345,325,320,261,216,212,199,150,72,4186,1355.677,671.859,5
"고려대",90,0,0,0,0,65,76,117,160,201,278,273,304,304,281,294,314,342,234,189,205,214,214,85,4240,1025.302,331.115,6
"고속터미널",138,0,0,0,0,305,410,461,667,934,1421,1906,2532,3098,3823,4568,5725,6040,6121,5840,5552,4726,3892,1549,59708,850.837,837.545,37
"공덕",403,0,0,0,0,184,253,257,354,392,536,663,751,689,741,702,730,734,777,664,670,630,460,241,10831,620.999,617.697,56
"공릉",120,0,0,0,0,151,158,215,297,296,365,395,470,484,429,444,410,388,350,287,285,230,253,101,6128,1193.903,282.891,7
"광나루",145,0,0,0,0,592,322,266,380,521,474,464,547,554,598,522,561,547,502,355,286,320,289,76,8321,1137.21,656.679,5
"광명사거리",203,0,0,0,0,274,338,525,722,870,870,1158,1260,1275,1230,1205,1120,1229,987,854,746,665,404,169,16104,330.852,768.553,7
"광화문",3765,0,0,0,0,91,121,114,191,256,254,395,619,777,1022,1545,1906,2041,1725,1282,1217,1125,729,247,19422,683.564,369.616,5
"광흥창",91,0,0,0,0,57,119,122,146,190,182,226,313,252,277,283,245,196,206,174,231,209,107,62,3688,539.321,601.189,6
"교대",0,0,0,0,2,147,379,341,524,457,568,732,890,893,899,920,1284,1264,1684,1362,1285,1244,1235,454,16564,846.203,910.047,23
"구로디지털단지",0,0,0,0,7,393,655,766,1339,1715,1451,1647,1690,1688,1655,1807,1950,2118,1885,1517,1373,1190,922,454,26222,500.574,802.592,2
"구산",62,0,0,0,0,78,99,169,192,166,227,282,295,319,340,258,235,232,229,151,147,128,98,34,3741,385.971,343.656,6
"구의",0,0,0,0,0,190,293,348,572,668,622,704,739,777,725,740,718,675,608,512,449,466,315,151,10272,1093.556,637.513,2
"구파발",0,0,0,0,1,96,180,202,350,401,539,575,677,514,727,735,747,533,438,329,229,147,99,31,7550,331.775,313.009,3
"군자",450,0,0,0,0,254,319,327,520,615,685,741,806,931,930,948,1085,1093,903,822,811,709,614,255,13818,1137.211,608.45,57
"굽은다리",199,0,0,0,0,108,117,173,235,246,331,349,407,374,401,436,402,357,317,242,241,328,214,54,5531,1327.622,709.451,5
"금호",0,0,0,0,0,56,119,180,207,296,290,334,325,359,298,295,325,271,216,185,193,187,94,35,4265,892.776,572.028,3
"길동",68,0,0,0,0,84,143,160,174,198,213,251,343,385,343,315,259,257,245,224,154,191,147,51,4205,1300.476,716.373,5
"길음",0,0,0,0,4,189,309,461,552,724,756,964,1052,1051,1033,1012,998,944,814,612,546,396,309,138,12864,945.448,299.641,4
"김포공항",76,0,0,0,0,16,31,49,89,175,153,354,400,519,639,836,944,998,1009,932,680,785,656,439,9780,196.871,562.553,5
"까치산",226,0,0,0,0,358,439,605,823,1024,1016,1063,1328,1323,1312,1182,1166,1117,839,694,684,602,421,153,16375,345.771,650.367,25
"낙성대",0,0,0,0,0,173,291,429,648,796,897,982,1137,1154,1221,1140,1106,1074,948,702,675,575,484,223,14655,705.295,905.413,2
"남구로",142,0,0,0,0,143,205,316,462,570,534,588,518,614,550,618,687,580,628,556,548,450,237,142,9088,444.704,768.553,7
"남부터미널",0,0,0,0,1,117,220,283,409,490,711,895,1084,1311,1535,1693,1794,2200,1787,1515,1454,984,783,326,19592,861.91,944.582,3
