"가락시장",105,18,0,0,0,147,348,1039,1268,968,970,910,1058,1149,1195,1390,1400,1455,1611,981,780,612,533,248,18185,1157.223,868.944,38
"가산디지털단지",242,0,0,0,0,141,289,739,790,645,666,902,1607,2203,2927,3952,4686,6627,7242,4068,2410,2511,1026,431,44104,390.518,763.918,17
"강남",3205,653,45,0,14,607,1006,2121,3069,2301,2372,3169,4215,5620,6758,8733,9819,11494,13161,10249,8074,8340,8199,3852,117076,889.279,908.681,2
"강남구청",181,0,0,0,0,98,179,371,503,392,446,536,731,948,1297,1580,1724,2117,2918,1861,1249,1236,855,359,19581,985.804,752.112,7
"강동",43,0,0,0,0,314,737,2438,3329,1487,974,984,965,1032,999,1109,1137,1601,1591,1022,743,606,535,212,21858,1264.418,716.373,5
"강동구청",20,0,0,0,0,132,372,1205,1609,753,572,599,537,640,633,671,682,839,1086,625,374,414,320,130,12213,1194.134,748.703,8
"강변",280,77,2,0,0,348,1016,3834,5711,3375,2930,2851,3075,3099,3330,3345,3671,3997,4131,4092,4055,2846,2183,850,59098,1096.235,670.037,2
"개화산",12,0,0,0,0,143,286,966,855,364,314,317,298,295,272,301,396,650,621,348,219,180,202,71,7110,201.505,530.358,5
"거여",14,0,0,0,0,154,380,1225,1139,591,415,404,556,442,396,391,424,483,494,325,229,279,214,73,8628,1314.81,896.19,5
"건대입구",1402,392,3,0,10,844,1217,3189,5236,3312,2112,2232,2749,3306,3534,3972,4571,5544,5618,4777,4966,4766,4601,2857,71210,1077.788,603.785,27
"경복궁",388,144,0,0,0,88,201,595,934,748,813,1034,1312,1415,1618,1954,1970,2390,3405,1650,1055,928,791,313,23746,719.128,313.009,3
"경찰병원",32,6,0,0,0,59,229,852,833,479,442,397,390,450,474,502,503,598,683,363,234,216,178,53,7973,1241.478,840.421,3
"고덕",35,0,0,0,0,88,327,1027,899,479,402,564,549,495,552,544,593,709,655,421,302,283,244,87,9255,1355.677,671.859,5
"고려대",22,0,0,0,0,101,226,938,1247,528,367,431,531,565,514,569,669,814,859,533,367,383,319,143,10126,1025.302,331.115,6
"고속터미널",393,101,0,0,0,371,454,1486,2449,2421,2758,3461,4313,5075,5980,6607,7949,8924,9161,7942,9179,6030,4200,1586,90840,850.837,837.545,37
"공덕",204,0,0,0,0,217,450,1411,2056,1276,1149,1327,1439,1874,2011,2210,2506,3414,4809,2739,1860,1600,1333,704,34589,620.999,617.697,56
"공릉",60,0,0,0,0,205,453,1624,1773,871,809,643,758,754,781,745,812,841,898,610,510,502,400,229,14278,1193.903,282.891,7
"광나루",35,0,0,0,0,125,486,1715,2147,1086,799,729,719,880,832,867,905,1085,1201,901,597,603,575,194,16481,1137.21,656.679,5
"광명사거리",68,0,0,0,0,687,1344,4185,5227,2340,1414,1366,1350,1566,1502,1422,1548,1690,1733,1490,1144,1026,757,432,32291,330.852,768.553,7
"광화문",187,0,0,0,0,40,157,516,648,562,747,1100,1610,2229,2650,3264,4146,4820,7187,4211,2834,2391,1965,823,42087,683.564,369.616,5
"광흥창",50,0,0,0,0,84,227,636,929,546,434,457,547,535,547,579,695,815,1036,652,428,390,298,116,10001,539.321,601.189,6
"교대",522,178,11,0,2,152,602,1500,2081,1701,1798,2331,2675,3386,4017,4488,4851,5803,7079,4133,2859,2900,3022,1127,57218,846.203,910.047,23
"구로디지털단지",375,195,3,0,4,1168,1865,5870,7958,4174,2818,2416,2834,3186,3553,4087,4234,5178,7365,4550,2909,2619,2116,1090,70567,500.574,802.592,2
"구산",16,0,0,0,0,125,370,1049,1352,578,426,410,503,485,416,410,427,502,498,312,285,275,211,100,8750,385.971,343.656,6
"구의",157,64,0,0,2,387,837,2589,4313,2179,1280,1254,1196,1332,1238,1213,1386,1615,1934,1213,866,838,754,387,27034,1093.556,637.513,2
"구파발",40,37,0,0,2,234,898,3208,2897,1507,1122,926,857,858,732,726,748,788,782,543,361,349,237,92,17944,331.775,313.009,3
"군자",166,0,0,0,0,386,773,2598,4096,1913,1147,1102,1105,1250,1336,1322,1600,2092,2254,1737,1266,1233,1101,551,29028,1137.211,608.45,57
"굽은다리",18,0,0,0,0,180,413,1514,1609,699,560,549,559,568,540,504,611,622,686,458,329,324,307,96,11146,1327.622,709.451,5
"금호",55,33,0,0,0,132,322,967,1341,808,531,511,461,509,463,434,527,505,515,401,283,224,249,110,9381,892.776,572.028,3
"길동",19,0,0,0,0,142,303,982,1171,545,430,432,481,512,472,463,492,588,615,444,287,276,236,123,9013,1300.476,716.373,5
"길음",156,65,0,0,0,348,1157,4197,4134,2309,1529,1396,1551,1478,1377,1452,1486,1679,1706,1208,995,836,710,325,30094,945.448,299.641,4
"김포공항",31,0,0,0,0,26,64,213,221,194,243,309,452,603,616,821,891,900,1187,906,762,758,674,304,10175,196.871,562.553,5
"까치산",68,0,0,0,0,706,1393,4778,6025,2751,1682,1523,1573,1560,1401,1322,1357,1550,1613,1267,976,888,750,319,33502,345.771,650.367,25
"낙성대",251,168,2,0,1,410,925,3381,5232,2543,1478,1395,1436,1439,1546,1549,1720,2192,2286,1904,1371,1199,1017,500,33945,705.295,905.413,2
"남구로",79,0,0,0,0,447,559,1403,1825,1055,621,551,730,834,915,1134,1231,1438,1893,1165,798,619,490,239,18026,444.704,768.553,7
"남부터미널",504,54,0,0,1,99,351,1022,1594,1338,1541,1698,1912,2227,2568,3159,3657,4284,5072,3185,2381,1897,1491,804,40839,861.91,944.582,3
"남성",41,0,0,0,0,181,399,1472,2126,1116,749,640,625,652,608,600,672,548,688,498,382,415,320,131,12863,724.94,841.584,7
"남태령",2,1,0,0,0,11,24,63,102,81,48,49,45,45,58,65,74,112,162,61,37,28,18,7,1093,757.353,946.698,4
"내방",77,0,0,0,0,77,276,672,1040,725,588,608,692,890,860,1128,1274,1572,1904,1042,718,658,507,236,15544,803.566,841.584,7
"노원",432,78,0,0,0,592,1532,4205,4320,2652,2455,2522,2702,3037,3019,3337,3562,3758,4027,3026,3043,2269,2473,1267,54308,1063.814,192.852,47
"녹번",63,20,0,0,1,288,734,2491,3048,1669,1082,1020,918,868,855,765,741,820,922,598,412,429,377,160,18281,504.454,313.009,3
"녹사평",48,0,0,0,0,34,80,180,367,242,238,193,209,253,290,297,376,527,653,438,315,316,658,206,5920,738.161,622.157,6
"논현",386,0,0,0,0,175,274,463,758,639,547,651,811,1058,1268,1667,1907,2243,2919,2163,1417,1462,1393,651,22852,953.958,835.849,7
"답십리",37,0,0,0,0,242,547,1854,2696,1279,841,753,768,845,810,963,1049,1405,1589,1048,720,555,512,236,18749,1110.581,518.04,5
"당고개",81,7,0,0,0,308,646,1989,2028,1136,924,672,727,704,731,703,643,716,701,493,435,378,312,136,14470,1063.813,127.57,4
"당산",156,65,4,0,0,238,664,2260,2808,1544,1067,1063,1067,1132,1204,1224,1383,1860,2842,1663,1109,951,871,412,25587,477.653,613.96,2
"대림",234,107,1,0,9,1304,1628,3926,5700,3649,2000,2082,2186,2339,2235,2375,2814,3013,3422,2509,1820,1612,1411,787,47163,486.922,768.553,27
"대청",38,9,0,0,0,119,378,1282,1604,711,524,506,607,648,650,613,1010,1036,1098,588,501,353,300,135,12710,1082.793,962.105,3
"대치",47,54,0,0,5,70,399,1040,1096,621,536,559,703,703,662,800,960,1223,1293,892,664,656,1162,167,14312,1005.979,962.105,3
"대흥",36,0,0,0,0,91,161,506,783,509,340,374,375,486,485,537,606,841,866,514,372,385,337,165,8769,574.278,621.428,6
"도곡",82,23,0,0,1,41,191,580,786,481,426,429,482,582,541,535,668,861,834,615,390,362,302,100,9312,967.904,966.74,3
"도림천",4,0,1,0,0,16,25,84,64,40,58,43,77,53,57,79,67,90,70,42,30,18,32,8,958,431.228,702.422,2
"도봉산",14,0,0,0,0,232,684,2554,1692,803,566,481,507,555,630,622,593,573,606,484,270,250,190,94,12400,956.056,192.853,17
"독립문",94,36,0,0,3,189,179,609,783,722,486,600,473,543,484,536,512,564,635,357,235,269,212,76,8597,661.654,313.009,3
"독바위",8,0,0,0,0,69,137,557,543,234,157,123,152,141,146,127,151,133,154,101,66,74,64,33,3170,412.847,271.974,6
"돌곶이",24,0,0,0,0,180,397,1413,1766,780,517,449,447,523,470,403,452,565,554,417,313,291,214,83,10258,1121.619,331.115,6
"동대문",378,304,2,0,62,870,699,964,1387,1487,1726,2003,2499,3118,4112,5108,5287,4908,4050,2504,2017,1622,1540,1110,47757,876.366,384.015,14
"동대문역사문화공원",857,259,2,0,18,596,458,602,905,926,1212,1779,1798,1919,2485,3153,3749,4836,5487,3842,2752,2527,2276,1573,44011,871.891,447.234,245
"동대입구",506,83,0,0,1,51,122,235,334,294,295,340,472,604,595,662,914,1208,1513,1005,584,711,694,267,11490,800.298,549.974,3
"동묘앞",73,28,0,0,2,246,359,571,826,633,665,864,988,1231,1602,1939,2113,2003,1516,1113,781,695,577,296,19121,945.523,384.014,16
"동작",48,12,0,0,0,16,41,174,287,134,121,152,136,144,129,151,137,235,215,108,119,92,67,30,2548,757.353,786.528,4
"둔촌동",36,0,0,0,0,158,507,1808,1962,951,768,725,686,777,706,716,798,917,936,679,507,550,398,189,14774,1305.66,742.184,5
"디지털미디어시티",58,0,0,0,0,209,488,1806,2495,1154,746,648,691,705,562,704,863,1028,1809,1024,568,480,350,216,16604,410.349,461.301,6
"뚝섬",77,64,0,0,1,144,353,1066,1534,899,802,647,751,823,908,1046,1138,1392,1756,1323,695,559,516,160,16654,1053.888,547.665,2
"뚝섬유원지",25,0,0,0,0,135,274,901,1358,760,412,416,374,415,418,443,612,647,499,376,304,276,220,132,8997,1002.496,620.333,7
"마곡",1,0,0,0,0,13,39,185,158,49,37,34,47,34,64,92,172,195,39,26,16,8,6,4,1219,211.598,622.481,5
"마들",22,0,0,0,0,271,760,2595,2268,999,758,651,729,623,567,553,566,568,599,475,325,280,252,74,13935,1029.086,188.219,7
"마장",17,0,0,0,0,76,212,625,842,408,315,337,405,403,408,358,382,458,562,333,289,263,212,97,7002,1052.575,509.412,5
"마천",9,0,0,0,0,200,311,1061,1064,486,358,304,338,363,321,297,345,321,344,248,202,190,138,39,6939,1314.81,928.81,5
"마포",94,0,0,0,0,74,227,799,1083,596,560,580,689,823,962,1092,1266,1614,1739,1085,769,725,531,265,15573,597.567,645.716,5
"마포구청",59,0,0,0,0,209,435,1321,1939,1030,745,702,688,732,707,763,849,1049,1496,885,569,475,412,178,15243,455.598,506.923,6
"망원",45,0,0,0,0,167,306,1002,1555,830,608,618,651,719,642,708,771,831,995,758,482,485,456,186,12815,489.129,512.111,6
"매봉",60,21,0,0,0,52,187,634,761,478,505,552,602,723,888,985,1136,1386,1594,869,590,492,423,131,13069,932.587,962.105,3
"먹골",38,0,0,0,0,187,402,1478,1788,853,531,524,534,585,561,605,556,614,758,540,423,387,347,156,11867,1193.903,362.101,7
"면목",47,0,0,0,0,351,689,2244,3037,1328,878,754,762,661,699,647,805,829,880,700,625,452,446,195,17029,1193.903,468.831,7
"명동",1576,408,0,0,2,37,99,235,339,702,927,1266,1560,2089,2767,3562,4714,5484,6290,5473,4677,4873,5049,2595,54724,746.47,495.017,4
"명일",17,0,0,0,0,126,512,1571,1435,832,635,621,682,496,516,469,492,536,518,370,254,294,207,106,10689,1345.212,694.504,5
"목동",53,0,0,0,0,213,667,2561,3327,1454,993,1035,1022,1045,1065,1041,1164,1268,1421,1026,727,706,746,300,21834,386.734,645.691,5
"몽촌토성",51,0,0,0,0,37,131,377,538,328,308,323,306,395,409,402,518,565,772,436,320,306,282,126,6930,1139.439,755.559,8
"무악재",11,15,0,0,0,73,155,629,833,418,326,282,244,245,240,228,225,252,304,182,141,128,106,43,5080,608.485,313.009,3
"문래",96,60,1,0,0,146,492,1697,1891,938,760,855,901,935,1050,1226,1575,2047,3077,1703,958,836,697,339,22280,463.701,672.417,2
"문정",25,0,0,0,0,43,125,541,728,351,272,262,269,305,371,341,356,435,555,343,260,222,292,99,6195,1206.363,878.029,8
