"가락시장",61,0,0,0,0,158,273,428,637,762,758,819,768,788,754,709,707,789,756,537,485,387,432,199,11207,1157.223,868.944,38
"가산디지털단지",177,0,0,0,0,203,270,372,514,453,466,508,666,873,1023,1265,1591,2384,2315,1915,1701,2211,801,305,20013,390.518,763.918,17
"강남",13,0,0,0,12,1067,1223,910,1114,1585,1787,2156,2925,3733,4093,4804,5654,5618,5395,4453,4725,5914,8595,3837,69613,889.279,908.681,2
"강남구청",169,0,0,0,0,125,176,161,304,305,373,357,450,476,515,604,853,870,946,997,784,800,1349,335,10949,985.804,752.112,7
"강동",51,0,0,0,0,335,465,678,1195,1244,1132,1216,1187,1194,1026,881,891,970,897,671,603,543,394,185,15758,1264.418,716.373,5
"강동구청",27,0,0,0,0,147,203,292,482,546,514,533,450,488,414,411,382,410,373,286,250,196,201,73,6678,1194.134,748.703,8
"강변",0,0,0,0,5,362,823,1195,2268,3380,4072,4281,4429,4404,3793,3777,3930,3831,3171,3291,2917,2814,2292,1003,56038,1096.235,670.037,2
"개화산",9,0,0,0,0,122,196,316,364,364,330,307,347,366,313,299,304,345,296,233,180,121,110,47,4969,201.505,530.358,5
"거여",8,0,0,0,0,152,217,302,517,454,478,460,393,406,323,290,296,304,207,211,159,128,120,48,5473,1314.81,896.19,5
"건대입구",315,0,0,0,48,1707,1440,1500,2392,2726,2354,2469,2642,2985,3228,3548,3909,4202,3862,3804,4384,4305,4900,3106,59826,1077.788,603.785,27
"경복궁",4,0,0,0,8,142,223,300,567,667,633,802,1197,1592,1801,2066,2251,2355,1797,1201,862,766,646,211,20091,719.128,313.009,3
"경찰병원",0,0,0,0,1,67,125,214,317,319,326,309,304,288,298,224,168,229,201,161,158,120,109,38,3976,1241.478,840.421,3
"고덕",35,0,0,0,0,92,130,218,345,402,456,436,474,428,404,435,368,335,307,268,203,235,193,80,5844,1355.677,671.859,5
"고려대",57,0,0,0,0,172,217,283,473,499,457,533,592,583,575,492,509,597,592,395,278,345,331,167,8147,1025.302,331.115,6
